id,sentence,difficulty,processed_sentence,sentence_length,avg_word_length,type_token_ratio,syntactic_complexity,pos_tags,PUNCT,ADV,CCONJ,X,AUX,DET,PRON,NUM,NOUN,INTJ,ADP,ADJ,VERB,PROPN,SCONJ
15,"Ma timidité me quittait dès que je m'éloignais d'Ellénore ; je reprenais alors mes plans habiles et mes profondes combinaisons : mais à peine me retrouvais-je auprès d'elle, que je me sentais de nouveau tremblant et troublé.",C2,mon timidité me quitter dès que je méloigner dellénore   je reprendre alors mon plan habile et mon profonde combinaison   mais à peine me retrouvaisje auprès dell que je me sentir de nouveau tremblant et troubler,37,5.081081081081081,0.8108108108108109,1,"{'DET': 3, 'NOUN': 6, 'PRON': 9, 'VERB': 3, 'ADP': 5, 'SCONJ': 2, 'PROPN': 1, 'PUNCT': 4, 'ADV': 4, 'ADJ': 3, 'CCONJ': 3}",4,4,3,0,0,3,9,0,6,0,5,3,3,1,2
16,Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2,je penser que fréquenter le galerie être le meilleur manière déduquer son oeil à lart contemporain,16,5.4375,1.0,0,"{'PRON': 1, 'VERB': 3, 'SCONJ': 1, 'DET': 4, 'NOUN': 4, 'AUX': 1, 'ADJ': 1, 'ADP': 2, 'PROPN': 1, 'PUNCT': 1}",1,0,0,0,1,4,1,0,4,0,2,1,3,1,1
17,"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",A1,le soir je me cuche tôt parce que je devoir être toujours en bon forme,15,3.8666666666666667,0.9333333333333333,1,"{'DET': 1, 'NOUN': 2, 'PUNCT': 2, 'PRON': 3, 'VERB': 2, 'ADV': 2, 'SCONJ': 2, 'AUX': 1, 'ADP': 1, 'ADJ': 1}",2,2,0,0,1,1,3,0,2,0,1,1,2,0,2
18,"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",B2,le mère de raphaël et de vanessa exprimer son satisfaction   depuis que son enfant posséder un portable cela avoir libérer mon ligne déclaretell,24,5.041666666666667,0.9583333333333334,2,"{'DET': 5, 'NOUN': 5, 'ADP': 3, 'PROPN': 2, 'CCONJ': 1, 'VERB': 4, 'PUNCT': 6, 'SCONJ': 1, 'PRON': 3, 'AUX': 1}",6,0,1,0,1,5,3,0,5,0,3,0,4,2,1
19,Je ne fais pas grand-chose à la maison.,A2,je ne faire pas grandchose à le maison,8,4.0,1.0,0,"{'PRON': 1, 'ADV': 2, 'VERB': 1, 'ADJ': 1, 'ADP': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1}",1,2,0,0,0,1,1,0,1,0,1,1,1,0,0
20,Elle ajoute qu'une interdiction totale est impossible à gérer.,B2,lui ajouter quune interdiction total être impossible à gérer,9,6.0,1.0,0,"{'PRON': 1, 'VERB': 2, 'SCONJ': 1, 'DET': 1, 'NOUN': 1, 'ADJ': 2, 'AUX': 1, 'ADP': 1, 'PUNCT': 1}",1,0,0,0,1,1,1,0,1,0,1,2,2,0,1
21,"Sans plus d'hésitation, il tourna vers la gauche ; son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.",C2,sans plus dhésitation il tourner vers le gauche   son pas sonner sur le terre durcir et ce bruit cadencer monotone assoupir en le berçant le tumulte de son esprit,30,4.766666666666667,0.9,5,"{'ADP': 6, 'ADV': 2, 'NOUN': 8, 'PUNCT': 7, 'PRON': 1, 'VERB': 5, 'DET': 7, 'CCONJ': 1}",7,2,1,0,0,7,1,0,8,0,6,0,5,0,0
22,"Comme le signale l'expression ""lingua franca"", le français a été pendant très longtemps la langue internationale, eu égard à notre rayonnement politique aussi bien que culturel",C2,comme le signal lexpression lingua franca le français avoir être pendant très longtemps le langue international avoir égard à notre rayonnement politique aussi bien que culturel,26,5.8076923076923075,0.9615384615384616,2,"{'SCONJ': 2, 'DET': 5, 'NOUN': 7, 'PUNCT': 4, 'VERB': 3, 'AUX': 2, 'ADP': 2, 'ADV': 4, 'ADJ': 2}",4,4,0,0,2,5,0,0,7,0,2,2,3,0,2
23,Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,B1,je ne ter pas téléphoner parce que jai avoir trop de travail,12,4.0,1.0,0,"{'PRON': 3, 'ADV': 3, 'AUX': 2, 'VERB': 2, 'SCONJ': 2, 'ADP': 1, 'NOUN': 1, 'PUNCT': 1}",1,3,0,0,2,0,3,0,1,0,1,0,2,0,2
24,C'est peut-être ça que vous cherchez ?,A2,cest peutêtr cela que vous chercher,7,4.571428571428571,1.0,0,"{'PRON': 3, 'AUX': 1, 'ADV': 1, 'SCONJ': 1, 'VERB': 1, 'PUNCT': 1}",1,1,0,0,1,0,3,0,0,0,0,0,1,0,1
25,"Qu'est-ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout ?",C2,questce qui pouvoir bien poser problème dans ce petit livret pourtant plutôt attractif pour que seul 23 4   de leur détenteur arriver au bout,26,4.846153846153846,1.0,1,"{'PRON': 4, 'AUX': 1, 'VERB': 3, 'ADV': 3, 'NOUN': 5, 'ADP': 4, 'DET': 2, 'ADJ': 3, 'SCONJ': 1, 'PUNCT': 2, 'NUM': 1}",2,3,0,0,1,2,4,1,5,0,4,3,3,0,1
26,Je consulte d'habitude ma messagerie. Et puis je prends un café.,A1,je consulte dhabitude mon messagerie et pouvoir je prendre un café,11,4.909090909090909,1.0,0,"{'PRON': 2, 'VERB': 2, 'ADP': 1, 'NOUN': 3, 'DET': 2, 'PUNCT': 2, 'CCONJ': 2}",2,0,2,0,0,2,2,0,3,0,1,0,2,0,0
27,Nous sommes en train de dîner.,A2,nous être en train de dîner,6,4.166666666666667,1.0,0,"{'PRON': 1, 'AUX': 1, 'ADP': 2, 'NOUN': 1, 'VERB': 1, 'PUNCT': 1}",1,0,0,0,1,0,1,0,1,0,2,0,1,0,0
28,"En fait, je trouve que l'éducation est une bonne chose.",B1,en fait je trouver que léducation être un bon chose,10,4.6,1.0,1,"{'ADP': 1, 'NOUN': 3, 'PUNCT': 2, 'PRON': 1, 'VERB': 1, 'SCONJ': 1, 'DET': 2, 'AUX': 1, 'ADJ': 1}",2,0,0,0,1,2,1,0,3,0,1,1,1,0,1
29,As-tu besoin de quelque chose?,A1,astu besoin de quelque chose,5,5.2,1.0,0,"{'PROPN': 1, 'NOUN': 4, 'ADP': 1, 'DET': 1, 'PUNCT': 1}",1,0,0,0,0,1,0,0,4,0,1,0,0,1,0
30,"Perpétuel clandestin, c'est muni d'un faux titre de séjour, photocopie de la carte de résident d'un copain-complice, qu'il avait ensuite sillonné l'Hexagone, au bon vouloir d'employeurs peu scrupuleux.",C1,perpétuel clandestin cest munir dun faux titre de séjour photocopie de le carte de résident dun copaincomplice quil avoir ensuite sillonner lhexagone au bon vouloir demployeur peu scrupuleux,28,6.214285714285714,0.8928571428571429,4,"{'PROPN': 1, 'ADJ': 4, 'PUNCT': 5, 'PRON': 3, 'AUX': 2, 'VERB': 3, 'ADP': 7, 'DET': 4, 'NOUN': 9, 'ADV': 3}",5,3,0,0,2,4,3,0,9,0,7,4,3,1,0
31,"Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent.",B2,le mariage mixte apparaître comme le lieu privilégier ou le culture saffronter dialoguer et se fondre,16,5.6875,1.0,1,"{'DET': 3, 'NOUN': 4, 'ADJ': 2, 'VERB': 2, 'ADP': 1, 'CCONJ': 2, 'PRON': 2, 'ADV': 1, 'PUNCT': 2}",2,1,2,0,0,3,2,0,4,0,1,2,2,0,0
32,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche",B2,asseoir en terrasse dans le quartier touristique de vieux lyon jame siroter un limonade bien frais,16,5.3125,1.0,1,"{'PROPN': 4, 'ADP': 3, 'NOUN': 3, 'DET': 2, 'ADJ': 2, 'PUNCT': 1, 'VERB': 1, 'ADV': 1}",1,1,0,0,0,2,0,0,3,0,3,2,1,4,0
33,"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",C2,le chronologie antique ne prendre sens que sur un large pourtour de le méditerranée de même que ce découpage spatial nest pertinent comme entité géographique que durer ce période pendant lequel le mer intérieure nest pas vivre comme un limite,40,5.3,0.85,1,"{'DET': 7, 'NOUN': 8, 'ADJ': 4, 'ADV': 6, 'VERB': 2, 'SCONJ': 3, 'ADP': 7, 'PROPN': 1, 'PUNCT': 2, 'AUX': 2, 'PRON': 1, 'NUM': 1}",2,6,0,0,2,7,1,1,8,0,7,4,2,1,3
34,"En voici un des moins obscurs : ""Plus nous devenons maîtres de la biosphère, plus nous en devenons dépendants ; plus nous la dégradons, plus nous dégradons nos vies5.",C2,en voici un de moins obscur   plus nous devenir maître de le biosphère plus nous en devenon dépendant   plus nous le dégrader plus nous dégrader notre vies5,29,4.758620689655173,0.7586206896551724,2,"{'ADP': 3, 'VERB': 4, 'DET': 4, 'ADV': 5, 'NOUN': 4, 'PUNCT': 6, 'PRON': 5, 'ADJ': 2}",6,5,0,0,0,4,5,0,4,0,3,2,4,0,0
35,"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2,cest le début de trouble qui se poursuivre et sétendent au reste de territoire tout au long de mois de septembre le fameuse journer de septembre amplifier le refus de guillaume premier de considérer le revendication de insurgé,38,5.2105263157894735,0.7894736842105263,0,"{'PRON': 4, 'AUX': 1, 'DET': 4, 'NOUN': 13, 'ADP': 10, 'VERB': 4, 'CCONJ': 1, 'ADV': 1, 'PUNCT': 2, 'PROPN': 1, 'ADJ': 1}",2,1,1,0,1,4,4,0,13,0,10,1,4,1,0
36,Les filles s'étaient fait des colliers en fruits rouges qui ressemblaient à des perles.,B2,le fille sétaient faire un collier en fruit rouge qui ressembler à un perle,14,5.285714285714286,0.9285714285714286,0,"{'DET': 3, 'NOUN': 4, 'PRON': 2, 'AUX': 1, 'VERB': 2, 'ADP': 2, 'ADJ': 1, 'PUNCT': 1}",1,0,0,0,1,3,2,0,4,0,2,1,2,0,0
37,Je reste avec toi.,A1,je reste avec toi,4,3.75,1.0,0,"{'PRON': 1, 'VERB': 1, 'ADP': 1, 'NOUN': 1, 'PUNCT': 1}",1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
38,Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,C2,un revenu devenir donc un nécessité pour que lhomme pouvoir accéder à le satisfaction davoir combler son désir,18,5.277777777777778,1.0,0,"{'DET': 5, 'NOUN': 5, 'VERB': 4, 'ADV': 1, 'ADP': 3, 'SCONJ': 1, 'AUX': 1}",0,1,0,0,1,5,0,0,5,0,3,0,4,0,1
39,Tu mangeas les petits fruits dès que tu les eus cueillis,C2,tu mangea le petit fruit dès que taire le eu cueillir,11,4.181818181818182,0.9090909090909091,0,"{'ADP': 2, 'NOUN': 3, 'DET': 2, 'ADJ': 1, 'SCONJ': 1, 'VERB': 2}",0,0,0,0,0,2,0,0,3,0,2,1,2,0,1
40,"Ben, on est tous débordés quoi.",A1,ben on être tout déborder quoi,6,4.333333333333333,1.0,1,"{'PROPN': 1, 'PUNCT': 2, 'PRON': 2, 'AUX': 1, 'ADJ': 1, 'VERB': 1}",2,0,0,0,1,0,2,0,0,0,0,1,1,1,0
41,"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",A2,un petit garçon   ben trois dans un nid et dans lautre yen avoir deux,15,3.6,0.9333333333333333,1,"{'DET': 3, 'ADJ': 1, 'NOUN': 2, 'PUNCT': 2, 'PROPN': 1, 'NUM': 2, 'ADP': 2, 'CCONJ': 1, 'PRON': 3, 'VERB': 1}",2,0,1,0,0,3,3,2,2,0,2,1,1,1,0
42,J'ai été en forme toute la matinée.,A2,jai être en forme tout le matinée,7,4.142857142857143,1.0,0,"{'PRON': 1, 'AUX': 2, 'ADP': 1, 'NOUN': 2, 'ADJ': 1, 'DET': 1, 'PUNCT': 1}",1,0,0,0,2,1,1,0,2,0,1,1,0,0,0
43,"L'ordinateur peut aussi répondre à des interruptions qui lui permettent d'exécuter des programmes de réponses spécifiques à chacune, puis de reprendre l'exécution séquentielle du programme interrompu.",C2,lordinateur pouvoir aussi répondre à un interruption qui luire permettre dexécuter un programme de réponse spécifique à chacun pouvoir de reprendre lexécution séquentiel de programme interrompre,26,6.730769230769231,0.8846153846153846,1,"{'DET': 4, 'NOUN': 6, 'VERB': 5, 'ADV': 1, 'ADP': 6, 'PRON': 3, 'ADJ': 2, 'PUNCT': 2, 'CCONJ': 1, 'PROPN': 1}",2,1,1,0,0,4,3,0,6,0,6,2,5,1,0
44,Il a plu et j'ai attendu l'autobus.,A2,il avoir pleuvoir et jai attendre lautobu,7,4.142857142857143,1.0,0,"{'PRON': 2, 'AUX': 2, 'VERB': 2, 'CCONJ': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1}",1,0,1,0,2,1,2,0,1,0,0,0,2,0,0
45,"Dans d'autres cas il s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",C2,dans dautres cas il sagit de limite relatif baser sur un taux de croissance démographique de référence valable là aussi uniquement hors centre ou pondérer en fonction de degré de centralité,31,5.516129032258065,0.9032258064516129,2,"{'ADP': 9, 'DET': 2, 'ADJ': 4, 'NOUN': 9, 'PRON': 2, 'VERB': 3, 'PUNCT': 3, 'ADV': 3, 'CCONJ': 1}",3,3,1,0,0,2,2,0,9,0,9,4,3,0,0
46,C'est bien !,A1,cest bien,3,3.3333333333333335,1.0,0,"{'PRON': 1, 'AUX': 1, 'ADV': 1, 'PUNCT': 1}",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
47,"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",B2,en 2007 moins de 8 de déchet de entreprise avoir faire lobjet dun collect sélectif,15,5.133333333333334,0.9333333333333333,1,"{'ADP': 5, 'NUM': 2, 'PUNCT': 2, 'ADV': 1, 'NOUN': 4, 'AUX': 1, 'VERB': 1, 'DET': 2, 'ADJ': 2}",2,1,0,0,1,2,0,2,4,0,5,2,1,0,0
48,Les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang.,C1,le médecin de donneur vous conseiller volontier dans un tel cas vous renseigner par rapport à don de sang,19,5.368421052631579,0.9473684210526315,0,"{'DET': 2, 'NOUN': 6, 'ADP': 5, 'PRON': 2, 'VERB': 2, 'ADJ': 2, 'PUNCT': 1}",1,0,0,0,0,2,2,0,6,0,5,2,2,0,0
49,Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,A2,le plus inquiétant cest que le scandinavie avoir déjà battu de record de chaleur pendant lété 2018,17,5.0588235294117645,1.0,0,"{'DET': 3, 'ADV': 2, 'ADJ': 2, 'PRON': 1, 'VERB': 1, 'SCONJ': 1, 'NOUN': 4, 'AUX': 1, 'ADP': 3, 'NUM': 1}",0,2,0,0,1,3,1,1,4,0,3,2,1,0,1
50,J'aime le ski.,A1,jaime le ski,3,4.0,1.0,0,"{'PRON': 1, 'VERB': 1, 'DET': 1, 'ADJ': 1, 'PUNCT': 1}",1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
51,"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",B2,malheureusement il sembler désormais évident quil ny avoir pas de voie pour obtenir un confirmation avoir écrire neerer tanden à joe biden en retirer son candidature,26,5.230769230769231,0.9615384615384616,2,"{'PUNCT': 4, 'PROPN': 5, 'PRON': 3, 'VERB': 5, 'ADV': 3, 'ADJ': 1, 'SCONJ': 1, 'DET': 3, 'NOUN': 3, 'ADP': 3, 'AUX': 1}",4,3,0,0,1,3,3,0,3,0,3,1,5,5,1
52,Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,A1,pourquoi loisillon se retrouvetil seul dans le forêt,9,5.444444444444445,1.0,0,"{'ADV': 1, 'DET': 2, 'NOUN': 2, 'PRON': 3, 'VERB': 1, 'ADJ': 1, 'ADP': 1, 'PUNCT': 1}",1,1,0,0,0,2,3,0,2,0,1,1,1,0,0
53,Elle est née quel jour ?,A1,lui être naître quel jour,6,3.1666666666666665,1.0,0,"{'PRON': 1, 'AUX': 1, 'VERB': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1}",1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
54,"Il existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l'humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs",C2,il exister effectivement de être humain qui posséder un quantité de pouvoir important et qui contraindre lhumanité à travailler en créer un cercle vicieux qui faire de travail un nécessité pour accéder à son propre désir,36,5.444444444444445,0.8888888888888888,1,"{'PRON': 4, 'VERB': 8, 'ADV': 1, 'PUNCT': 1, 'DET': 6, 'NOUN': 7, 'ADJ': 4, 'ADP': 6, 'CCONJ': 1}",1,1,1,0,0,6,4,0,7,0,6,4,8,0,0
55,Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,B1,un bouchée de   ce expression faire référence à le quantité dun aliment quon mettre dans le bouche en un fois,21,4.428571428571429,0.9523809523809523,0,"{'DET': 6, 'NOUN': 7, 'ADP': 5, 'PUNCT': 2, 'VERB': 2, 'SCONJ': 1, 'PRON': 1}",2,0,0,0,0,6,1,0,7,0,5,0,2,0,1
56,"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.",B2,si tu respecter le indication plus sérieusement tu trouver plus facilement ton chemin à travers ce ruelle,17,5.823529411764706,0.8823529411764706,1,"{'SCONJ': 1, 'PRON': 1, 'VERB': 3, 'DET': 2, 'NOUN': 3, 'ADV': 4, 'PUNCT': 2, 'ADJ': 2, 'ADP': 1}",2,4,0,0,0,2,1,0,3,0,1,2,3,0,1
57,"Aussitôt que Julie eut découvert la vérité, elle fut furieuse",C2,aussitôt que julie avoir découvrir le vérité lui être furieux,10,5.2,1.0,1,"{'ADV': 1, 'SCONJ': 1, 'PROPN': 1, 'AUX': 2, 'VERB': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1, 'PRON': 1, 'ADJ': 1}",1,1,0,0,2,1,1,0,1,0,0,1,1,1,1
58,Pile au moment où on a le plus besoin de réconfort,A2,pile au moment où on avoir le plus besoin de réconfort,11,3.6363636363636362,1.0,0,"{'NOUN': 4, 'ADP': 2, 'PRON': 2, 'VERB': 1, 'DET': 1, 'ADV': 1}",0,1,0,0,0,1,2,0,4,0,2,0,1,0,0
59,"Le train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les concevoir comme de simples outils ou, à la manière japonaise, tels d'amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.",C1,le train en son temps être également craindre brigitte munier le robot susciter lenthousiasme de occidental mais aussi son angoisse au lieu de le concevoir comme de simple outil ou à le manière japonais tel damical auxiliaire il craindre de compétiteur menacer son avenir,44,5.840909090909091,0.9318181818181818,6,"{'DET': 8, 'NOUN': 14, 'PUNCT': 9, 'ADP': 8, 'AUX': 1, 'ADV': 3, 'VERB': 4, 'CCONJ': 2, 'PRON': 2, 'ADJ': 4}",9,3,2,0,1,8,2,0,14,0,8,4,4,0,0
60,Je viens d'emménager dans ma nouvelle maison.,A2,je venir demménager dans mon nouveau maison,7,5.571428571428571,1.0,0,"{'PRON': 1, 'VERB': 2, 'ADP': 2, 'DET': 1, 'ADJ': 1, 'NOUN': 1, 'PUNCT': 1}",1,0,0,0,0,1,1,0,1,0,2,1,2,0,0
61,"Et cette année, ça défile !",B1,et ce année cela défiler,6,3.6666666666666665,1.0,1,"{'CCONJ': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 2, 'PRON': 1, 'ADJ': 1}",2,0,1,0,0,1,1,0,1,0,0,1,0,0,0
62,"Compte tenu de cette configuration, cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres ; les axes routiers ne représentant pas une barrière très forte pour cette espèce, on peut aussi penser qu'un tel résultat est un artéfact dû à la coupure artificielle d'une seule tache de prairie.",C1,compte tenir de ce configuration ce zone être peu adapter à un mesure de terrain pour limiter le diffusion de campagnol terrestre   le axe routier ne représentant pas un barrière très fort pour ce espèce on pouvoir aussi penser quun tel résultat être un artéfact devoir à le coupure artificiel dune seul tache de prairie,56,5.035714285714286,0.8392857142857143,2,"{'NOUN': 15, 'VERB': 5, 'ADP': 9, 'DET': 11, 'PUNCT': 4, 'AUX': 2, 'ADV': 5, 'ADJ': 8, 'PRON': 1, 'SCONJ': 1}",4,5,0,0,2,11,1,0,15,0,9,8,5,0,1
